"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","lrscale","gndr","agea","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","prob","stratum","psu"
"ESS10e03_2",10,"3.2","02.11.2023",10353,"EE",1.0001954,1.3308729,0.072088,0.09593997,88,2,21,3,3,2,2,2,2,5,2,3,2,2,5,3,1,4,3,5,2,1,2,2,0.0030050592,442,6513
"ESS10e03_2",10,"3.2","02.11.2023",10357,"EE",1.0009022,0.75659955,0.072088,0.05454175,7,2,65,4,5,4,3,3,4,2,3,1,3,3,1,5,4,5,3,4,3,2,3,6,0.0030029372,437,6443
"ESS10e03_2",10,"3.2","02.11.2023",10370,"EE",0.9990817,1.1844015,0.072088,0.08538114,8,1,49,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,2,3,3,0.003008409,441,7080
"ESS10e03_2",10,"3.2","02.11.2023",10371,"EE",0.9990817,1.1844015,0.072088,0.08538114,8,1,51,5,4,1,3,2,3,6,1,1,1,1,3,3,1,5,3,3,2,1,2,5,0.003008409,441,6596
"ESS10e03_2",10,"3.2","02.11.2023",10377,"EE",0.9993511,1.1847209,0.072088,0.085404165,5,1,53,2,3,3,2,3,2,3,3,2,2,2,2,2,3,5,2,2,2,2,5,3,0.003007598,436,7456
"ESS10e03_2",10,"3.2","02.11.2023",10378,"EE",0.9993511,0.7815601,0.072088,0.056341108,4,1,26,3,4,2,5,1,4,3,1,2,3,1,3,4,1,4,2,4,3,1,5,4,0.003007598,436,7399
"ESS10e03_2",10,"3.2","02.11.2023",10384,"EE",1.0009022,0.7253283,0.072088,0.05228747,7,2,46,2,6,2,3,2,2,6,2,2,2,2,1,5,2,4,4,5,2,1,2,3,0.0030029372,437,6676
"ESS10e03_2",10,"3.2","02.11.2023",10385,"EE",1.0001954,0.84260833,0.072088,0.060741954,7,2,53,1,6,1,3,2,1,6,1,6,2,1,1,4,4,5,2,5,1,1,5,4,0.0030050592,442,7517
"ESS10e03_2",10,"3.2","02.11.2023",10391,"EE",0.9993511,0.93903023,0.072088,0.067692816,8,1,43,3,3,3,2,4,5,3,2,6,2,2,3,2,3,4,3,3,2,4,3,4,0.003007598,436,6942
"ESS10e03_2",10,"3.2","02.11.2023",10407,"EE",1.0009022,0.84320384,0.072088,0.06078488,3,2,38,3,5,2,3,5,3,3,1,4,1,2,2,3,3,3,3,5,1,1,6,2,0.0030029372,437,6348
"ESS10e03_2",10,"3.2","02.11.2023",10431,"EE",0.99947894,0.7791889,0.072088,0.05617017,7,1,84,2,5,2,4,2,6,5,4,4,4,2,4,3,3,5,3,5,2,1,4,5,0.0030072134,439,7629
"ESS10e03_2",10,"3.2","02.11.2023",10433,"EE",0.9993511,1.1847209,0.072088,0.085404165,7,1,43,3,4,2,5,2,1,5,2,3,2,2,3,5,2,2,5,3,2,4,1,2,0.003007598,436,6831
"ESS10e03_2",10,"3.2","02.11.2023",10440,"EE",0.99947894,0.7791889,0.072088,0.05617017,5,1,56,2,5,2,5,3,5,4,2,2,1,2,3,4,2,3,2,5,1,2,3,2,0.0030072134,439,6797
"ESS10e03_2",10,"3.2","02.11.2023",10451,"EE",1.0001954,0.7560653,0.072088,0.05450324,5,2,66,4,5,4,5,4,1,6,2,2,1,4,2,6,1,1,1,6,2,2,5,2,0.0030050592,442,7446
"ESS10e03_2",10,"3.2","02.11.2023",10456,"EE",1.0009022,0.75659955,0.072088,0.05454175,88,2,87,1,6,2,2,5,5,2,1,4,3,1,1,5,1,5,1,6,1,1,1,6,0.0030029372,437,6120
"ESS10e03_2",10,"3.2","02.11.2023",10468,"EE",0.9993511,0.93903023,0.072088,0.067692816,6,1,53,3,5,5,5,3,4,2,2,2,5,1,2,3,3,4,2,2,2,2,2,5,0.003007598,436,7319
"ESS10e03_2",10,"3.2","02.11.2023",10498,"EE",1.0010029,0.7566757,0.072088,0.054547243,88,2,77,5,4,4,5,2,4,3,2,2,5,2,4,4,5,5,2,2,2,3,2,4,0.0030026352,443,6545
"ESS10e03_2",10,"3.2","02.11.2023",10499,"EE",1.0001954,0.7560653,0.072088,0.05450324,5,2,57,3,5,6,2,2,4,2,3,2,3,2,1,2,3,5,5,4,1,2,5,5,0.0030050592,442,7441
"ESS10e03_2",10,"3.2","02.11.2023",10503,"EE",1.0001954,0.84260833,0.072088,0.060741954,4,2,42,1,4,1,2,3,3,5,2,5,3,2,3,3,2,4,5,3,3,3,4,3,0.0030050592,442,7391
"ESS10e03_2",10,"3.2","02.11.2023",10554,"EE",0.9990817,1.2840941,0.072088,0.09256778,5,1,49,2,2,2,3,1,3,1,3,1,3,2,2,6,5,3,3,5,4,1,4,2,0.003008409,441,6483
"ESS10e03_2",10,"3.2","02.11.2023",10563,"EE",1.0009022,1.2324395,0.072088,0.088844106,6,2,30,3,5,1,2,1,3,1,3,5,2,1,1,1,2,5,4,4,1,2,2,2,0.0030029372,437,6350
"ESS10e03_2",10,"3.2","02.11.2023",10568,"EE",0.99947894,0.7791889,0.072088,0.05617017,5,1,66,5,6,4,3,2,3,3,3,1,3,2,2,5,3,6,3,3,1,1,6,6,0.0030072134,439,6795
"ESS10e03_2",10,"3.2","02.11.2023",10591,"EE",0.9975014,0.7776472,0.072088,0.056059033,5,1,55,1,5,5,4,5,4,5,2,2,5,2,2,4,2,3,2,5,2,2,2,2,0.0030131752,440,6214
"ESS10e03_2",10,"3.2","02.11.2023",10594,"EE",1.0009022,0.75659955,0.072088,0.05454175,5,2,56,4,4,2,3,1,3,2,2,2,2,2,2,2,2,4,2,3,1,1,2,4,0.0030029372,437,6670
"ESS10e03_2",10,"3.2","02.11.2023",10600,"EE",1.0001954,0.7560653,0.072088,0.05450324,5,2,77,5,5,2,4,1,5,2,2,2,5,2,1,5,2,5,2,5,4,2,5,5,0.0030050592,442,6261
"ESS10e03_2",10,"3.2","02.11.2023",10620,"EE",1.0009022,1.2324395,0.072088,0.088844106,5,2,23,3,3,1,3,1,2,3,2,1,1,3,3,1,2,3,2,6,1,1,4,3,0.0030029372,437,6798
"ESS10e03_2",10,"3.2","02.11.2023",10636,"EE",1.0010029,1.2171992,0.072088,0.08774546,88,2,57,3,5,2,5,2,5,2,2,2,5,2,2,5,6,5,2,5,2,3,2,5,0.0030026352,443,6980
"ESS10e03_2",10,"3.2","02.11.2023",10659,"EE",0.9993511,0.7815601,0.072088,0.056341108,8,1,29,4,4,3,4,4,5,4,2,2,2,3,3,4,2,5,2,5,1,2,4,4,0.003007598,436,7031
"ESS10e03_2",10,"3.2","02.11.2023",10686,"EE",0.9990817,0.9387771,0.072088,0.06767456,7,1,51,3,5,3,5,5,3,3,2,3,3,3,3,5,3,5,2,4,2,2,3,3,0.003008409,441,6853
"ESS10e03_2",10,"3.2","02.11.2023",10697,"EE",0.9993511,0.7815601,0.072088,0.056341108,6,1,32,2,4,2,3,3,3,2,2,4,3,2,3,3,3,4,3,3,3,3,3,4,0.003007598,436,6762
"ESS10e03_2",10,"3.2","02.11.2023",10700,"EE",0.9990817,1.2840941,0.072088,0.09256778,9,1,49,3,4,4,4,3,3,5,2,4,2,2,3,5,3,3,2,2,2,2,3,4,0.003008409,441,6839
"ESS10e03_2",10,"3.2","02.11.2023",10711,"EE",0.9993511,1.1847209,0.072088,0.085404165,5,1,38,4,4,4,4,3,4,3,3,3,2,3,3,4,3,5,2,5,3,3,2,4,0.003007598,436,7423
"ESS10e03_2",10,"3.2","02.11.2023",10718,"EE",0.99947894,0.7791889,0.072088,0.05617017,0,1,61,3,1,1,5,3,5,2,2,2,2,2,3,5,5,3,2,5,3,2,5,5,0.0030072134,439,7477
"ESS10e03_2",10,"3.2","02.11.2023",10736,"EE",0.9993511,1.1847209,0.072088,0.085404165,0,1,49,5,5,5,3,2,5,5,1,1,5,3,1,2,5,6,2,2,2,3,5,5,0.003007598,436,7381
"ESS10e03_2",10,"3.2","02.11.2023",10752,"EE",0.9990817,1.4469085,0.072088,0.104304746,9,1,22,2,3,5,1,4,1,6,3,6,3,1,4,1,5,2,3,1,2,4,3,2,0.003008409,441,7411
"ESS10e03_2",10,"3.2","02.11.2023",10764,"EE",0.9990817,1.1844015,0.072088,0.08538114,5,1,48,2,5,2,5,3,3,6,2,4,2,1,3,5,2,4,2,5,3,1,5,4,0.003008409,441,7595
"ESS10e03_2",10,"3.2","02.11.2023",10796,"EE",1.0001954,1.2162174,0.072088,0.087674685,7,2,55,3,4,1,5,3,4,4,1,2,1,2,2,4,2,4,2,4,2,2,2,4,0.0030050592,442,7518
"ESS10e03_2",10,"3.2","02.11.2023",10797,"EE",1.0001954,1.3308729,0.072088,0.09593997,5,2,31,4,4,2,2,3,3,4,2,3,2,3,2,3,4,4,4,4,2,1,4,3,0.0030050592,442,7245
"ESS10e03_2",10,"3.2","02.11.2023",10810,"EE",0.99883705,0.77868843,0.072088,0.056134094,5,1,68,3,3,3,3,1,5,4,5,5,2,2,4,3,4,3,5,3,1,2,2,4,0.0030091458,438,6867
"ESS10e03_2",10,"3.2","02.11.2023",10823,"EE",1.0001954,1.2162174,0.072088,0.087674685,5,2,76,2,3,2,5,3,2,4,1,5,5,3,1,3,5,3,4,5,2,1,2,4,0.0030050592,442,7079
"ESS10e03_2",10,"3.2","02.11.2023",10835,"EE",1.0001954,1.351508,0.072088,0.09742752,1,2,18,2,1,1,3,3,1,5,2,4,3,1,1,1,2,1,5,2,2,2,4,1,0.0030050592,442,6591
"ESS10e03_2",10,"3.2","02.11.2023",10844,"EE",0.9975014,0.7776472,0.072088,0.056059033,3,1,74,2,3,2,5,5,5,2,2,2,5,2,2,5,2,5,2,2,2,2,5,4,0.0030131752,440,6295
"ESS10e03_2",10,"3.2","02.11.2023",10845,"EE",1.0001954,0.84260833,0.072088,0.060741954,6,2,44,1,5,2,6,2,3,4,1,2,2,2,2,5,3,4,2,5,2,2,4,4,0.0030050592,442,6221
"ESS10e03_2",10,"3.2","02.11.2023",10863,"EE",0.9990817,0.8425903,0.072088,0.06074065,8,1,72,5,2,2,5,3,2,4,3,2,5,2,2,3,2,3,3,4,2,4,2,3,0.003008409,441,6527
"ESS10e03_2",10,"3.2","02.11.2023",10878,"EE",1.0009022,0.75659955,0.072088,0.05454175,6,2,57,5,5,1,6,1,6,2,2,1,6,6,1,5,1,6,2,6,1,1,1,6,0.0030029372,437,7375
"ESS10e03_2",10,"3.2","02.11.2023",10918,"EE",1.0001954,1.3308729,0.072088,0.09593997,7,2,22,2,3,1,2,3,4,4,2,5,2,2,3,2,3,2,4,3,2,2,3,1,0.0030050592,442,7239
"ESS10e03_2",10,"3.2","02.11.2023",10922,"EE",0.9993511,0.84281754,0.072088,0.060757034,6,1,87,2,4,1,2,1,3,4,1,1,2,1,3,4,2,2,1,6,2,1,2,4,0.003007598,436,6390
"ESS10e03_2",10,"3.2","02.11.2023",10933,"EE",1.0001954,1.3308729,0.072088,0.09593997,6,2,32,2,3,1,2,2,2,5,1,5,2,1,1,2,2,3,2,2,1,1,5,3,0.0030050592,442,6141
"ESS10e03_2",10,"3.2","02.11.2023",10941,"EE",0.9990817,1.2840941,0.072088,0.09256778,3,1,36,3,5,3,2,5,3,1,2,6,1,1,3,4,1,6,1,1,3,4,6,3,0.003008409,441,6291
"ESS10e03_2",10,"3.2","02.11.2023",10942,"EE",0.9990817,0.9387771,0.072088,0.06767456,3,1,38,3,5,2,4,2,4,3,2,3,3,2,3,5,3,5,4,5,2,2,3,5,0.003008409,441,7439
"ESS10e03_2",10,"3.2","02.11.2023",10950,"EE",1.0001954,0.7560653,0.072088,0.05450324,3,2,66,2,4,1,1,1,2,2,1,1,3,1,1,4,1,4,1,5,1,1,1,3,0.0030050592,442,7311
"ESS10e03_2",10,"3.2","02.11.2023",10951,"EE",1.0009022,0.9848319,0.072088,0.07099456,0,2,49,5,5,8,5,5,5,4,2,5,4,3,5,5,5,5,4,5,2,4,5,5,0.0030029372,437,7397
"ESS10e03_2",10,"3.2","02.11.2023",10954,"EE",1.0001954,0.7298586,0.072088,0.052614048,5,2,79,2,5,1,5,1,5,2,2,2,4,2,2,5,1,6,1,4,1,2,1,5,0.0030050592,442,6228
"ESS10e03_2",10,"3.2","02.11.2023",10965,"EE",0.9993511,1.1847209,0.072088,0.085404165,5,1,46,4,5,1,2,2,3,5,2,1,3,1,2,2,1,6,4,1,1,1,5,5,0.003007598,436,6660
"ESS10e03_2",10,"3.2","02.11.2023",10990,"EE",1.0010029,0.84328866,0.072088,0.060790997,7,2,54,2,4,2,3,2,4,3,3,3,3,2,3,3,2,4,3,4,3,2,2,3,0.0030026352,443,6607
"ESS10e03_2",10,"3.2","02.11.2023",10991,"EE",0.9990817,0.78134936,0.072088,0.056325916,8,1,34,5,5,6,3,5,3,5,2,5,2,2,3,3,6,3,4,5,3,3,5,4,0.003008409,441,6907
"ESS10e03_2",10,"3.2","02.11.2023",11004,"EE",0.9993511,0.93903023,0.072088,0.067692816,5,1,44,2,3,4,5,3,3,3,4,4,3,2,4,4,3,3,2,3,2,2,2,2,0.003007598,436,6659
"ESS10e03_2",10,"3.2","02.11.2023",11024,"EE",1.0001954,1.2315693,0.072088,0.08878137,9,2,28,2,2,2,3,4,2,4,3,4,2,1,2,1,3,4,4,4,2,1,5,3,0.0030050592,442,6748
"ESS10e03_2",10,"3.2","02.11.2023",11059,"EE",1.0001954,0.84260833,0.072088,0.060741954,5,2,35,2,1,1,1,1,4,2,3,3,1,1,1,1,1,5,5,3,1,2,3,3,0.0030050592,442,7259
"ESS10e03_2",10,"3.2","02.11.2023",11076,"EE",0.99947894,1.1848725,0.072088,0.085415095,10,1,46,4,3,4,4,2,5,4,5,2,2,5,2,5,2,5,2,5,2,2,1,3,0.0030072134,439,6198
"ESS10e03_2",10,"3.2","02.11.2023",11078,"EE",1.0009022,1.2170768,0.072088,0.08773664,5,2,79,3,4,3,3,2,2,3,2,4,2,2,2,4,3,5,3,2,1,2,1,3,0.0030029372,437,6947
"ESS10e03_2",10,"3.2","02.11.2023",11087,"EE",1.0001954,1.3308729,0.072088,0.09593997,0,2,24,4,5,2,5,2,4,3,3,3,3,2,2,5,3,5,2,5,2,2,3,5,0.0030050592,442,6677
"ESS10e03_2",10,"3.2","02.11.2023",11102,"EE",0.9975014,1.1825281,0.072088,0.08524609,5,1,48,2,5,2,4,3,3,3,2,5,2,2,1,3,3,3,2,3,1,1,2,5,0.0030131752,440,6410
"ESS10e03_2",10,"3.2","02.11.2023",11109,"EE",0.99883705,0.93854725,0.072088,0.067658,7,1,51,3,5,2,5,4,3,4,2,3,4,2,3,2,3,3,4,3,2,2,2,5,0.0030091458,438,7431
"ESS10e03_2",10,"3.2","02.11.2023",11110,"EE",0.9993511,0.84281754,0.072088,0.060757034,5,1,66,2,5,2,3,2,2,3,4,4,2,3,3,3,3,1,3,5,3,1,2,2,0.003007598,436,7605
"ESS10e03_2",10,"3.2","02.11.2023",11115,"EE",0.9993511,0.84281754,0.072088,0.060757034,5,1,68,3,5,3,4,3,3,5,2,2,1,1,3,3,3,3,4,6,4,3,5,1,0.003007598,436,7531
"ESS10e03_2",10,"3.2","02.11.2023",11149,"EE",0.9993511,0.7815601,0.072088,0.056341108,8,1,28,3,4,2,3,2,5,4,3,4,2,3,1,4,3,2,3,4,3,1,5,4,0.003007598,436,6309
"ESS10e03_2",10,"3.2","02.11.2023",11151,"EE",0.99883705,1.4465542,0.072088,0.104279205,6,1,22,4,6,2,5,6,2,2,1,3,5,1,3,5,5,1,6,5,1,1,4,2,0.0030091458,438,7018
"ESS10e03_2",10,"3.2","02.11.2023",11155,"EE",1.0010029,1.3319474,0.072088,0.096017435,4,2,21,2,2,2,2,4,2,4,2,2,1,1,3,2,2,1,2,1,1,3,4,3,0.0030026352,443,6166
"ESS10e03_2",10,"3.2","02.11.2023",11157,"EE",1.0001954,0.84260833,0.072088,0.060741954,6,2,40,2,5,4,2,2,3,4,4,5,2,2,2,3,1,1,1,4,1,1,3,1,0.0030050592,442,6688
"ESS10e03_2",10,"3.2","02.11.2023",11168,"EE",1.0010029,1.2171992,0.072088,0.08774546,8,2,70,2,6,3,6,2,4,2,3,2,3,1,2,6,4,6,2,3,2,1,1,6,0.0030026352,443,6682
"ESS10e03_2",10,"3.2","02.11.2023",11184,"EE",1.0009022,0.9848319,0.072088,0.07099456,5,2,43,1,5,3,4,5,3,6,4,1,1,2,2,3,4,2,5,4,1,1,1,2,0.0030029372,437,6485
"ESS10e03_2",10,"3.2","02.11.2023",11191,"EE",0.9990817,1.6289088,0.072088,0.11742478,5,1,16,3,4,3,3,2,2,5,4,3,2,2,2,3,4,2,4,5,2,2,3,3,0.003008409,441,6631
"ESS10e03_2",10,"3.2","02.11.2023",11212,"EE",0.9990817,1.0813106,0.072088,0.077949524,77,1,74,5,4,2,2,1,1,3,1,2,2,1,1,5,3,5,2,3,2,2,1,3,0.003008409,441,6626
"ESS10e03_2",10,"3.2","02.11.2023",11214,"EE",1.0007516,1.3316131,0.072088,0.095993325,5,2,33,3,4,3,6,1,5,4,1,4,2,1,2,6,1,6,4,6,2,1,3,1,0.0030033889,445,6620
"ESS10e03_2",10,"3.2","02.11.2023",11238,"EE",1.0001954,0.7298586,0.072088,0.052614048,5,2,76,3,5,5,5,2,3,2,2,2,2,2,2,5,4,5,3,4,2,2,3,3,0.0030050592,442,7197
"ESS10e03_2",10,"3.2","02.11.2023",11244,"EE",0.9990817,0.77887917,0.072088,0.056147844,5,1,68,2,5,2,2,4,1,3,2,2,1,2,1,3,3,6,3,6,1,1,1,2,0.003008409,441,7554
"ESS10e03_2",10,"3.2","02.11.2023",11277,"EE",0.9993511,1.1847209,0.072088,0.085404165,10,1,41,1,5,5,5,6,3,5,1,2,3,1,3,5,2,5,5,2,2,2,5,4,0.003007598,436,7339
"ESS10e03_2",10,"3.2","02.11.2023",11278,"EE",0.99883705,0.7811581,0.072088,0.056312125,2,1,32,3,4,1,6,2,4,2,2,1,3,2,4,4,5,5,2,4,5,3,5,4,0.0030091458,438,7395
"ESS10e03_2",10,"3.2","02.11.2023",11304,"EE",0.9975014,1.0796002,0.072088,0.077826224,5,1,61,2,5,2,5,2,2,2,2,2,5,2,2,5,2,2,2,5,2,2,2,2,0.0030131752,440,6352
"ESS10e03_2",10,"3.2","02.11.2023",11307,"EE",1.0001954,0.9841364,0.072088,0.07094443,5,2,41,2,4,3,2,1,4,3,4,1,2,2,3,4,2,5,2,3,1,1,2,3,0.0030050592,442,6478
"ESS10e03_2",10,"3.2","02.11.2023",11310,"EE",1.0001954,0.7298586,0.072088,0.052614048,5,2,85,4,5,2,2,2,2,5,2,2,5,3,2,5,2,5,2,2,2,2,2,5,0.0030050592,442,6978
"ESS10e03_2",10,"3.2","02.11.2023",11318,"EE",1.0001954,1.2162174,0.072088,0.087674685,10,2,58,3,5,2,4,3,4,3,2,4,1,1,2,5,4,4,3,5,2,1,3,4,0.0030050592,442,6232
"ESS10e03_2",10,"3.2","02.11.2023",11326,"EE",1.0026032,1.3547615,0.072088,0.09766205,5,2,31,1,6,1,5,2,4,6,2,2,3,2,1,6,5,5,5,4,1,3,3,5,0.0029978424,444,7617
"ESS10e03_2",10,"3.2","02.11.2023",11331,"EE",1.0001954,0.7560653,0.072088,0.05450324,10,2,81,4,6,1,4,2,5,5,2,2,4,2,2,4,1,5,1,6,2,1,1,4,0.0030050592,442,6526
"ESS10e03_2",10,"3.2","02.11.2023",11338,"EE",0.9993511,1.0816022,0.072088,0.07797054,4,1,81,4,5,2,3,4,2,4,4,4,2,2,2,3,3,2,2,2,2,2,3,3,0.003007598,436,6287
"ESS10e03_2",10,"3.2","02.11.2023",11340,"EE",0.9990817,0.78134936,0.072088,0.056325916,5,1,34,3,5,2,3,4,3,5,3,2,4,1,2,4,3,5,4,4,2,1,6,5,0.003008409,441,6848
"ESS10e03_2",10,"3.2","02.11.2023",11376,"EE",1.0001954,0.84260833,0.072088,0.060741954,8,2,50,2,5,4,5,3,3,3,2,3,3,3,2,4,4,5,2,4,1,2,3,4,0.0030050592,442,6930
"ESS10e03_2",10,"3.2","02.11.2023",11380,"EE",0.9990817,1.1844015,0.072088,0.08538114,5,1,53,5,5,4,5,3,3,3,3,3,2,2,2,3,3,4,3,4,2,3,2,3,0.003008409,441,7476
"ESS10e03_2",10,"3.2","02.11.2023",11393,"EE",1.0001954,1.3308729,0.072088,0.09593997,5,2,21,2,5,1,2,2,1,5,1,2,2,1,1,3,2,2,4,5,1,1,5,2,0.0030050592,442,6967
"ESS10e03_2",10,"3.2","02.11.2023",11426,"EE",0.99883705,0.93854725,0.072088,0.067658,6,1,38,2,5,4,3,5,3,5,2,2,3,3,4,3,3,1,4,5,2,4,4,4,0.0030091458,438,7573
"ESS10e03_2",10,"3.2","02.11.2023",11430,"EE",0.99947894,0.7791889,0.072088,0.05617017,5,1,67,3,2,3,2,2,2,2,3,4,2,2,3,2,2,3,2,3,2,3,2,4,0.0030072134,439,7218
"ESS10e03_2",10,"3.2","02.11.2023",11436,"EE",0.9993511,1.6293479,0.072088,0.117456436,5,1,22,4,5,3,2,2,4,4,3,2,3,1,4,3,3,5,3,4,2,4,4,1,0.003007598,436,7095
"ESS10e03_2",10,"3.2","02.11.2023",11438,"EE",1.0001954,0.84260833,0.072088,0.060741954,7,2,47,1,5,2,3,6,3,5,1,4,2,3,3,5,5,2,5,5,3,4,6,4,0.0030050592,442,6125
"ESS10e03_2",10,"3.2","02.11.2023",11439,"EE",1.0001954,0.7560653,0.072088,0.05450324,5,2,56,2,6,2,5,2,5,2,2,2,2,2,2,4,2,5,2,4,2,2,3,2,0.0030050592,442,6305
"ESS10e03_2",10,"3.2","02.11.2023",11461,"EE",1.0007516,0.75648576,0.072088,0.05453355,5,2,68,2,4,1,2,2,2,2,2,2,2,2,2,3,2,5,2,4,2,2,2,3,0.0030033889,445,7309
"ESS10e03_2",10,"3.2","02.11.2023",11462,"EE",0.9990817,1.2840941,0.072088,0.09256778,5,1,53,5,6,2,2,2,2,4,2,3,2,1,2,4,2,5,5,5,2,1,5,5,0.003008409,441,7275
"ESS10e03_2",10,"3.2","02.11.2023",11489,"EE",0.9993511,1.1847209,0.072088,0.085404165,5,1,49,2,4,2,3,2,3,2,2,4,3,2,3,3,2,4,2,3,3,2,4,4,0.003007598,436,7293
"ESS10e03_2",10,"3.2","02.11.2023",11501,"EE",1.0009022,0.75659955,0.072088,0.05454175,5,2,75,2,5,5,2,2,3,4,2,5,2,2,5,2,2,5,2,5,1,2,3,5,0.0030029372,437,6577
"ESS10e03_2",10,"3.2","02.11.2023",11506,"EE",1.0001954,1.3308729,0.072088,0.09593997,3,2,19,3,3,1,4,5,3,4,2,4,3,1,3,3,2,4,5,4,1,1,6,4,0.0030050592,442,7527
